GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319288,07-02-2020,4816,,,12,4300,0,258,258,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319289,07-02-2020,4816,,,12,4300,0,258,258,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319290,07-02-2020,5033,,,12,4493.72,0,269.64,269.64,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319291,07-02-2020,759,,,12,677.72,0,40.64,40.64,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319292,07-02-2020,1264,,,12,1128.52,0,67.74,67.74,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319293,07-02-2020,2529,,,12,2258.04,0,135.48,135.48,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319294,07-02-2020,23598,,,12,21069.6,0,1264.2,1264.2,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319295,07-02-2020,1012,,,12,903.62,0,54.19,54.19,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319296,07-02-2020,1517,,,12,1354.42,0,81.29,81.29,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319297,07-02-2020,4816,,,12,4300,0,258,258,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319298,07-02-2020,16824,,,12,15021.44,0,901.28,901.28,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319559,15-02-2020,759,,,12,677.72,0,40.64,40.64,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319560,15-02-2020,15307,,,12,13667,0,820,820,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104319561,15-02-2020,2023,,,12,1806.24,0,108.38,108.38,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104583158,28-02-2020,1210,,,12,1080.4,0,64.8,64.8,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104583159,28-02-2020,619,,,12,552.64,0,33.18,33.18,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104583160,28-02-2020,2596,,,12,2317.9,0,139.05,139.05,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104583161,28-02-2020,5348,,,12,4775.02,0,286.49,286.49,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104583162,28-02-2020,1197,,,12,1068.72,0,64.14,64.14,0,Submitted,Feb-20
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104583163,28-02-2020,744,,,12,664.26,0,39.87,39.87,0,Submitted,Feb-20
37ABJFM3820G1ZA,MAC ASSOCIATES,Credit note,CN19-00483,12-02-2020,10872,,,12,9695.63,0,581.74,581.74,0,Submitted,Feb-20
37ABJFM3820G1ZA,MAC ASSOCIATES,Credit note,CN19-00485,13-02-2020,11034,,,12,10090.01,0,605.4,605.4,0,Submitted,Feb-20
37ABJFM3820G1ZA,MAC ASSOCIATES,Credit note,CN19-00523,19-02-2020,45715,,,12,42711.09,0,2562.67,2562.67,0,Submitted,Feb-20
37ABJFM3820G1ZA,MAC ASSOCIATES,Credit note,CN19-00524,19-02-2020,2656,,,12,2340.77,0,140.45,140.45,0,Submitted,Feb-20
37ABJFM3820G1ZA,MAC ASSOCIATES,Credit note,CN19-00536,20-02-2020,3046,,,12,2719.29,0,163.16,163.16,0,Submitted,Feb-20
37AGXPM2339M1ZK,MOHAMMED MOINUDDIN,Credit note,VJ0053,19-02-2020,77376.91,,,12,32053,0,1923.18,1923.18,0,Submitted,Feb-20
37AGXPM2339M1ZK,MOHAMMED MOINUDDIN,Credit note,VJI0039,28-02-2020,6147.06,,,12,1531,0,91.86,91.86,0,Submitted,Feb-20
37AIVPM2843C3ZZ,BALARAMAN MOHANKUMAR,Credit note,CN1920/00465,24-02-2020,10006,,,12,8933.84,0,536.03,536.03,0,Submitted,Feb-20
37AADFE3892M3ZV,EAST WEST PHARMA,Credit note,CN1920/00228,24-02-2020,7128,,,12,4560.2,0,273.61,273.61,0,Submitted,Feb-20
37AABCA9521E1ZW,ALKEM LABORATORIES LTD,Credit note,1615003168,20-02-2020,190.04,,,12,169.68,0,10.18,10.18,0,Submitted,Feb-20
37AABCA9521E1ZW,ALKEM LABORATORIES LTD,Credit note,1615003170,20-02-2020,1078.93,,,12,963.33,0,57.8,57.8,0,Submitted,Feb-20
37AABCA9521E1ZW,ALKEM LABORATORIES LTD,Credit note,1615003171,20-02-2020,3168.48,,,12,2829,0,169.74,169.74,0,Submitted,Feb-20
37AABCA9521E1ZW,ALKEM LABORATORIES LTD,Credit note,1615003174,20-02-2020,8420.4,,,12,7518.2,0,451.1,451.1,0,Submitted,Feb-20
37AABCA9521E1ZW,ALKEM LABORATORIES LTD,Credit note,1615003175,20-02-2020,1254.6,,,12,1120.18,0,67.21,67.21,0,Submitted,Feb-20
37AABCA9521E1ZW,ALKEM LABORATORIES LTD,Credit note,1615003178,20-02-2020,279.64,,,12,249.68,0,14.98,14.98,0,Submitted,Feb-20
37AAACL1069K1ZE,LUPIN LIMITED,Credit note,9175003102,24-08-2019,206518,,,12,184390.71,0,11063.44,11063.44,0,Submitted,Feb-20
37AAECJ2012J1ZT,JALKS PHARMACEUTICALS PRIVATE LIMITED,Credit note,KSVSRA59,21-02-2020,5522.27,,,12,4931,0,295.84,295.84,0,Submitted,Feb-20
37AGXPM2339M1ZK,MOHAMMED MOINUDDIN,Credit note,VJ0053,19-02-2020,77376.91,,,18,35151,0,3163.59,3163.59,0,Submitted,Feb-20
37AGXPM2339M1ZK,MOHAMMED MOINUDDIN,Credit note,VJI0039,28-02-2020,6147.06,,,18,3756,0,338.04,338.04,0,Submitted,Feb-20
37AADFE3892M3ZV,EAST WEST PHARMA,Credit note,CN1920/00228,24-02-2020,7128,,,18,1712.12,0,154.09,154.09,0,Submitted,Feb-20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
